P007008 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Some other race alone
1.000000 km,3.000000 km,5.000000 km,total
2109,24274,36021,447921

P007009 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Two or more races
1.000000 km,3.000000 km,5.000000 km,total
15654,215823,376091,5015633

P007002 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:
1.000000 km,3.000000 km,5.000000 km,total
452259,7603634,13755702,246233426

P007003 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  White alone
1.000000 km,3.000000 km,5.000000 km,total
269633,4908286,8878318,194552547

P007017 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Two or more races
1.000000 km,3.000000 km,5.000000 km,total
13218,144962,253319,2417868

P007001 : P7. Hispanic or Latino by Race [17] : Total population
1.000000 km,3.000000 km,5.000000 km,total
650467,10169445,17929727,285230516

P007006 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Asian alone
1.000000 km,3.000000 km,5.000000 km,total
41006,635260,1131598,10070664

P007007 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Native Hawaiian and Other Pacific Islander alone
1.000000 km,3.000000 km,5.000000 km,total
1052,16908,26470,342801

P007004 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Black or African American alone
1.000000 km,3.000000 km,5.000000 km,total
120451,1756911,3222034,33712156

P007005 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  American Indian and Alaska Native alone
1.000000 km,3.000000 km,5.000000 km,total
2354,46172,85170,2091704

P007015 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Native Hawaiian and Other Pacific Islander alone
1.000000 km,3.000000 km,5.000000 km,total
29,1904,3361,36407

P007013 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  American Indian and Alaska Native alone
1.000000 km,3.000000 km,5.000000 km,total
1549,25223,40510,366617

P007014 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Asian alone
1.000000 km,3.000000 km,5.000000 km,total
387,6091,11817,109853

P007010 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:
1.000000 km,3.000000 km,5.000000 km,total
198208,2565811,4174025,38997090

P007011 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  White alone
1.000000 km,3.000000 km,5.000000 km,total
78842,1102432,1801306,19869287

P007012 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Black or African American alone
1.000000 km,3.000000 km,5.000000 km,total
3425,39223,79189,949257

P007016 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Some other race alone
1.000000 km,3.000000 km,5.000000 km,total
100758,1245976,1984523,15247801

