P037028 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  High school graduate (includes equivalency)
3.000000 km,total
159571,28396462

"P037030 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Some college, 1 or more years, no degree"
3.000000 km,total
99348,13298631

P037031 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Associate degree
3.000000 km,total
45514,6555562

P037018 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Doctorate degree
3.000000 km,total
7962,1210118

P037019 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:
3.000000 km,total
776276,96363325

P037034 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Professional school degree
3.000000 km,total
10037,1387679

P037035 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Doctorate degree
3.000000 km,total
3723,557066

"P037012 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Some college, less than 1 year"
3.000000 km,total
41021,5680596

"P037013 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Some college, 1 or more years, no degree"
3.000000 km,total
98179,12385843

"P037010 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  12th grade, no diploma"
3.000000 km,total
49824,3418385

P037011 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  High school graduate (includes equivalency)
3.000000 km,total
145811,24282375

P037016 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Master's degree
3.000000 km,total
34614,5273443

P037017 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Professional school degree
3.000000 km,total
11399,2263973

P037014 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Associate degree
3.000000 km,total
42148,5120995

P037015 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Bachelor's degree
3.000000 km,total
95914,14148039

P037032 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Bachelor's degree
3.000000 km,total
93878,14480196

P037033 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Master's degree
3.000000 km,total
29035,5560344

"P037027 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  12th grade, no diploma"
3.000000 km,total
44068,3457301

P037026 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  11th grade
3.000000 km,total
24510,2754404

P037023 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  7th and 8th grade
3.000000 km,total
34535,3403002

P037022 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  5th and 6th grade
3.000000 km,total
61319,1809492

P037021 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Nursery to 4th grade
3.000000 km,total
24118,779880

P037020 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  No schooling completed
3.000000 km,total
45966,1399481

P037009 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  11th grade
3.000000 km,total
23728,2496141

P037008 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  10th grade
3.000000 km,total
20255,2657600

P037025 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  10th grade
3.000000 km,total
21997,2894401

P037024 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  9th grade
3.000000 km,total
30543,2362810

P037005 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  5th and 6th grade
3.000000 km,total
59754,1811565

P037004 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Nursery to 4th grade
3.000000 km,total
20700,748307

P037007 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  9th grade
3.000000 km,total
30261,2254285

P037006 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  7th and 8th grade
3.000000 km,total
31748,3054881

P037001 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total: Population 25 years and over
3.000000 km,total
1530835,184499965

P037003 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  No schooling completed
3.000000 km,total
41241,1330094

P037002 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:
3.000000 km,total
754559,88136640

"P037029 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Some college, less than 1 year"
3.000000 km,total
48114,7266614

