P088007 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.50 to 1.74
3.000000 km,total
48113,12093076

P088006 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.25 to 1.49
3.000000 km,total
54917,12412783

P088005 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.00 to 1.24
3.000000 km,total
55110,11610252

P088004 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  75 to .99
3.000000 km,total
48795,10438181

P088003 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  50 to .74
3.000000 km,total
40538,8955727

P088002 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  Under .50
3.000000 km,total
70930,16324591

P088001 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total: Population for whom poverty status is determined
3.000000 km,total
841071,277652014

P088009 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.85 to 1.99
3.000000 km,total
26087,6997902

P088008 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.75 to 1.84
3.000000 km,total
21874,5187973

P088010 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  2.00 and over
3.000000 km,total
474707,193631529

